cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
030-720-022,2024-07-25,20240725-insp-120,2024-03-09,11:30,12:15,CVIR2407250120,"HWY 400 Barrie, ON","SINGH, M",D3006360-ON,ON,FREIGHTLN,T420,PR6840,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-119,2024-03-04,09:00,09:45,CVIR2407250119,"HWY 401 Toronto, ON","GILL, P",D3006307-ON,ON,VOLVO,T419,PR6833,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-118,2024-02-28,10:30,11:10,CVIR2407250118,"HWY 416 Ottawa, ON","BAJWA, S",D3006254-ON,ON,WESTERN,T418,PR6826,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-117,2024-02-23,14:00,14:40,CVIR2407250117,"HWY 403 Brantford, ON","BRAR, H",D3006201-ON,ON,INTL,T417,PR6819,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-116,2024-02-19,08:30,09:10,CVIR2407250116,"QEW Hamilton, ON","DHILLON, K",D3006148-ON,ON,MACK,T416,PR6812,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-115,2024-02-14,15:45,16:25,CVIR2407250115,"HWY 11 North Bay, ON","GREWAL, J",D3006095-ON,ON,KENWORTH,T415,PR6805,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-114,2024-02-09,13:15,13:55,CVIR2407250114,"HWY 7 Mississauga, ON","PATEL, A",D3006042-ON,ON,PETERBILT,T414,PR6798,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-113,2024-02-04,11:30,12:15,CVIR2407250113,"HWY 400 Barrie, ON","SHARMA, R",D3005989-ON,ON,FREIGHTLN,T413,PR6791,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-112,2024-01-30,09:00,09:45,CVIR2407250112,"HWY 401 Toronto, ON","SINGH, M",D3005936-ON,ON,VOLVO,T412,PR6784,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-111,2024-01-25,10:30,11:10,CVIR2407250111,"HWY 416 Ottawa, ON","GILL, P",D3005883-ON,ON,WESTERN,T411,PR6777,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-110,2024-01-20,14:00,14:40,CVIR2407250110,"HWY 403 Brantford, ON","BAJWA, S",D3005830-ON,ON,INTL,T410,PR6770,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-109,2024-01-15,08:30,09:10,CVIR2407250109,"QEW Hamilton, ON","BRAR, H",D3005777-ON,ON,MACK,T409,PR6763,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-108,2024-01-10,15:45,16:25,CVIR2407250108,"HWY 11 North Bay, ON","DHILLON, K",D3005724-ON,ON,KENWORTH,T408,PR6756,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-107,2024-01-05,13:15,13:55,CVIR2407250107,"HWY 7 Mississauga, ON","GREWAL, J",D3005671-ON,ON,PETERBILT,T407,PR6749,CAON,3,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-106,2023-12-31,11:30,12:15,CVIR2407250106,"HWY 400 Barrie, ON","PATEL, A",D3005618-ON,ON,FREIGHTLN,T406,PR6742,CAON,3,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-105,2023-12-27,09:00,09:45,CVIR2407250105,"HWY 401 Toronto, ON","SHARMA, R",D3005565-ON,ON,VOLVO,T405,PR6735,CAON,3,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-104,2023-12-22,10:30,11:10,CVIR2407250104,"HWY 416 Ottawa, ON","SINGH, M",D3005512-ON,ON,WESTERN,T404,PR6728,CAON,3,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-103,2023-12-17,14:00,14:40,CVIR2407250103,"HWY 403 Brantford, ON","GILL, P",D3005459-ON,ON,INTL,T403,PR6721,CAON,3,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-102,2023-12-12,08:30,09:10,CVIR2407250102,"QEW Hamilton, ON","BAJWA, S",D3005406-ON,ON,MACK,T402,PR6714,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-101,2023-12-07,15:45,16:25,CVIR2407250101,"HWY 11 North Bay, ON","BRAR, H",D3005353-ON,ON,KENWORTH,T401,PR6707,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-100,2023-12-02,13:15,13:55,CVIR2407250100,"HWY 7 Mississauga, ON","DHILLON, K",D3005300-ON,ON,PETERBILT,T400,PR6700,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-99,2023-11-27,11:30,12:15,CVIR2407250099,"HWY 400 Barrie, ON","GREWAL, J",D3005247-ON,ON,FREIGHTLN,T399,PR6693,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-98,2023-11-22,09:00,09:45,CVIR2407250098,"HWY 401 Toronto, ON","PATEL, A",D3005194-ON,ON,VOLVO,T398,PR6686,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-97,2023-11-17,10:30,11:10,CVIR2407250097,"HWY 416 Ottawa, ON","SHARMA, R",D3005141-ON,ON,WESTERN,T397,PR6679,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-96,2023-11-12,14:00,14:40,CVIR2407250096,"HWY 403 Brantford, ON","SINGH, M",D3005088-ON,ON,INTL,T396,PR6672,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-95,2023-11-07,08:30,09:10,CVIR2407250095,"QEW Hamilton, ON","GILL, P",D3005035-ON,ON,MACK,T395,PR6665,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-94,2023-11-03,15:45,16:25,CVIR2407250094,"HWY 11 North Bay, ON","BAJWA, S",D3004982-ON,ON,KENWORTH,T394,PR6658,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-93,2023-10-29,13:15,13:55,CVIR2407250093,"HWY 7 Mississauga, ON","BRAR, H",D3004929-ON,ON,PETERBILT,T393,PR6651,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-92,2023-10-24,11:30,12:15,CVIR2407250092,"HWY 400 Barrie, ON","DHILLON, K",D3004876-ON,ON,FREIGHTLN,T392,PR6644,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-91,2023-10-19,09:00,09:45,CVIR2407250091,"HWY 401 Toronto, ON","GREWAL, J",D3004823-ON,ON,VOLVO,T391,PR6637,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-90,2023-10-14,10:30,11:10,CVIR2407250090,"HWY 416 Ottawa, ON","PATEL, A",D3004770-ON,ON,WESTERN,T390,PR6630,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-89,2023-10-09,14:00,14:40,CVIR2407250089,"HWY 403 Brantford, ON","SHARMA, R",D3004717-ON,ON,INTL,T389,PR6623,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-88,2023-10-04,08:30,09:10,CVIR2407250088,"QEW Hamilton, ON","SINGH, M",D3004664-ON,ON,MACK,T388,PR6616,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-87,2023-09-29,15:45,16:25,CVIR2407250087,"HWY 11 North Bay, ON","GILL, P",D3004611-ON,ON,KENWORTH,T387,PR6609,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-86,2023-09-24,13:15,13:55,CVIR2407250086,"HWY 7 Mississauga, ON","BAJWA, S",D3004558-ON,ON,PETERBILT,T386,PR6602,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-85,2023-09-19,11:30,12:15,CVIR2407250085,"HWY 400 Barrie, ON","BRAR, H",D3004505-ON,ON,FREIGHTLN,T385,PR6595,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-84,2023-09-15,09:00,09:45,CVIR2407250084,"HWY 401 Toronto, ON","DHILLON, K",D3004452-ON,ON,VOLVO,T384,PR6588,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-83,2023-09-10,10:30,11:10,CVIR2407250083,"HWY 416 Ottawa, ON","GREWAL, J",D3004399-ON,ON,WESTERN,T383,PR6581,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-82,2023-09-05,14:00,14:40,CVIR2407250082,"HWY 403 Brantford, ON","PATEL, A",D3004346-ON,ON,INTL,T382,PR6574,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-81,2023-08-31,08:30,09:10,CVIR2407250081,"QEW Hamilton, ON","SHARMA, R",D3004293-ON,ON,MACK,T381,PR6567,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-80,2023-08-26,15:45,16:25,CVIR2407250080,"HWY 11 North Bay, ON","SINGH, M",D3004240-ON,ON,KENWORTH,T380,PR6560,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-79,2023-08-21,13:15,13:55,CVIR2407250079,"HWY 7 Mississauga, ON","GILL, P",D3004187-ON,ON,PETERBILT,T379,PR6553,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-78,2023-08-16,11:30,12:15,CVIR2407250078,"HWY 400 Barrie, ON","BAJWA, S",D3004134-ON,ON,FREIGHTLN,T378,PR6546,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-77,2023-08-11,09:00,09:45,CVIR2407250077,"HWY 401 Toronto, ON","BRAR, H",D3004081-ON,ON,VOLVO,T377,PR6539,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-76,2023-08-06,10:30,11:10,CVIR2407250076,"HWY 416 Ottawa, ON","DHILLON, K",D3004028-ON,ON,WESTERN,T376,PR6532,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-75,2023-08-01,14:00,14:40,CVIR2407250075,"HWY 403 Brantford, ON","GREWAL, J",D3003975-ON,ON,INTL,T375,PR6525,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-74,2023-07-27,08:30,09:10,CVIR2407250074,"QEW Hamilton, ON","PATEL, A",D3003922-ON,ON,MACK,T374,PR6518,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-73,2023-07-23,15:45,16:25,CVIR2407250073,"HWY 11 North Bay, ON","SHARMA, R",D3003869-ON,ON,KENWORTH,T373,PR6511,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-72,2023-07-18,13:15,13:55,CVIR2407250072,"HWY 7 Mississauga, ON","SINGH, M",D3003816-ON,ON,PETERBILT,T372,PR6504,CAON,2,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-71,2023-07-13,11:30,12:15,CVIR2407250071,"HWY 400 Barrie, ON","GILL, P",D3003763-ON,ON,FREIGHTLN,T371,PR6497,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-70,2023-07-08,09:00,09:45,CVIR2407250070,"HWY 401 Toronto, ON","BAJWA, S",D3003710-ON,ON,VOLVO,T370,PR6490,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-69,2023-07-03,10:30,11:10,CVIR2407250069,"HWY 416 Ottawa, ON","BRAR, H",D3003657-ON,ON,WESTERN,T369,PR6483,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-68,2023-06-28,14:00,14:40,CVIR2407250068,"HWY 403 Brantford, ON","DHILLON, K",D3003604-ON,ON,INTL,T368,PR6476,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-67,2023-06-23,08:30,09:10,CVIR2407250067,"QEW Hamilton, ON","GREWAL, J",D3003551-ON,ON,MACK,T367,PR6469,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-66,2023-06-18,15:45,16:25,CVIR2407250066,"HWY 11 North Bay, ON","PATEL, A",D3003498-ON,ON,KENWORTH,T366,PR6462,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-65,2023-06-13,13:15,13:55,CVIR2407250065,"HWY 7 Mississauga, ON","SHARMA, R",D3003445-ON,ON,PETERBILT,T365,PR6455,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-64,2023-06-08,11:30,12:15,CVIR2407250064,"HWY 400 Barrie, ON","SINGH, M",D3003392-ON,ON,FREIGHTLN,T364,PR6448,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-63,2023-06-03,09:00,09:45,CVIR2407250063,"HWY 401 Toronto, ON","GILL, P",D3003339-ON,ON,VOLVO,T363,PR6441,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-62,2023-05-30,10:30,11:10,CVIR2407250062,"HWY 416 Ottawa, ON","BAJWA, S",D3003286-ON,ON,WESTERN,T362,PR6434,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-61,2023-05-25,14:00,14:40,CVIR2407250061,"HWY 403 Brantford, ON","BRAR, H",D3003233-ON,ON,INTL,T361,PR6427,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-60,2023-05-20,08:30,09:10,CVIR2407250060,"QEW Hamilton, ON","DHILLON, K",D3003180-ON,ON,MACK,T360,PR6420,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-59,2023-05-15,15:45,16:25,CVIR2407250059,"HWY 11 North Bay, ON","GREWAL, J",D3003127-ON,ON,KENWORTH,T359,PR6413,CAON,2,1,0,1,2,Y,N,N
030-720-022,2024-07-25,20240725-insp-58,2023-05-10,13:15,13:55,CVIR2407250058,"HWY 7 Mississauga, ON","PATEL, A",D3003074-ON,ON,PETERBILT,T358,PR6406,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-57,2023-05-05,11:30,12:15,CVIR2407250057,"HWY 400 Barrie, ON","SHARMA, R",D3003021-ON,ON,FREIGHTLN,T357,PR6399,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-56,2023-04-30,09:00,09:45,CVIR2407250056,"HWY 401 Toronto, ON","SINGH, M",D3002968-ON,ON,VOLVO,T356,PR6392,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-55,2023-04-25,10:30,11:10,CVIR2407250055,"HWY 416 Ottawa, ON","GILL, P",D3002915-ON,ON,WESTERN,T355,PR6385,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-54,2023-04-20,14:00,14:40,CVIR2407250054,"HWY 403 Brantford, ON","BAJWA, S",D3002862-ON,ON,INTL,T354,PR6378,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-53,2023-04-15,08:30,09:10,CVIR2407250053,"QEW Hamilton, ON","BRAR, H",D3002809-ON,ON,MACK,T353,PR6371,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-52,2023-04-11,15:45,16:25,CVIR2407250052,"HWY 11 North Bay, ON","DHILLON, K",D3002756-ON,ON,KENWORTH,T352,PR6364,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-51,2023-04-06,13:15,13:55,CVIR2407250051,"HWY 7 Mississauga, ON","GREWAL, J",D3002703-ON,ON,PETERBILT,T351,PR6357,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-50,2023-04-01,11:30,12:15,CVIR2407250050,"HWY 400 Barrie, ON","PATEL, A",D3002650-ON,ON,FREIGHTLN,T350,PR6350,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-49,2023-03-27,09:00,09:45,CVIR2407250049,"HWY 401 Toronto, ON","SHARMA, R",D3002597-ON,ON,VOLVO,T349,PR6343,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-48,2023-03-22,10:30,11:10,CVIR2407250048,"HWY 416 Ottawa, ON","SINGH, M",D3002544-ON,ON,WESTERN,T348,PR6336,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-47,2023-03-17,14:00,14:40,CVIR2407250047,"HWY 403 Brantford, ON","GILL, P",D3002491-ON,ON,INTL,T347,PR6329,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-46,2023-03-12,08:30,09:10,CVIR2407250046,"QEW Hamilton, ON","BAJWA, S",D3002438-ON,ON,MACK,T346,PR6322,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-45,2023-03-07,15:45,16:25,CVIR2407250045,"HWY 11 North Bay, ON","BRAR, H",D3002385-ON,ON,KENWORTH,T345,PR6315,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-44,2023-03-02,13:15,13:55,CVIR2407250044,"HWY 7 Mississauga, ON","DHILLON, K",D3002332-ON,ON,PETERBILT,T344,PR6308,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-43,2023-02-25,11:30,12:15,CVIR2407250043,"HWY 400 Barrie, ON","GREWAL, J",D3002279-ON,ON,FREIGHTLN,T343,PR6301,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-42,2023-02-20,09:00,09:45,CVIR2407250042,"HWY 401 Toronto, ON","PATEL, A",D3002226-ON,ON,VOLVO,T342,PR6294,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-41,2023-02-16,10:30,11:10,CVIR2407250041,"HWY 416 Ottawa, ON","SHARMA, R",D3002173-ON,ON,WESTERN,T341,PR6287,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-40,2023-02-11,14:00,14:40,CVIR2407250040,"HWY 403 Brantford, ON","SINGH, M",D3002120-ON,ON,INTL,T340,PR6280,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-39,2023-02-06,08:30,09:10,CVIR2407250039,"QEW Hamilton, ON","GILL, P",D3002067-ON,ON,MACK,T339,PR6273,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-38,2023-02-01,15:45,16:25,CVIR2407250038,"HWY 11 North Bay, ON","BAJWA, S",D3002014-ON,ON,KENWORTH,T338,PR6266,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-37,2023-01-27,13:15,13:55,CVIR2407250037,"HWY 7 Mississauga, ON","BRAR, H",D3001961-ON,ON,PETERBILT,T337,PR6259,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-36,2023-01-22,11:30,12:15,CVIR2407250036,"HWY 400 Barrie, ON","DHILLON, K",D3001908-ON,ON,FREIGHTLN,T336,PR6252,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-35,2023-01-17,09:00,09:45,CVIR2407250035,"HWY 401 Toronto, ON","GREWAL, J",D3001855-ON,ON,VOLVO,T335,PR6245,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-34,2023-01-12,10:30,11:10,CVIR2407250034,"HWY 416 Ottawa, ON","PATEL, A",D3001802-ON,ON,WESTERN,T334,PR6238,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-33,2023-01-07,14:00,14:40,CVIR2407250033,"HWY 403 Brantford, ON","SHARMA, R",D3001749-ON,ON,INTL,T333,PR6231,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-32,2023-01-02,08:30,09:10,CVIR2407250032,"QEW Hamilton, ON","SINGH, M",D3001696-ON,ON,MACK,T332,PR6224,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-31,2022-12-28,15:45,16:25,CVIR2407250031,"HWY 11 North Bay, ON","GILL, P",D3001643-ON,ON,KENWORTH,T331,PR6217,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-30,2022-12-24,13:15,13:55,CVIR2407250030,"HWY 7 Mississauga, ON","BAJWA, S",D3001590-ON,ON,PETERBILT,T330,PR6210,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-29,2022-12-19,11:30,12:15,CVIR2407250029,"HWY 400 Barrie, ON","BRAR, H",D3001537-ON,ON,FREIGHTLN,T329,PR6203,CAON,1,0,0,0,0,N,N,N
030-720-022,2024-07-25,20240725-insp-28,2022-12-14,09:00,09:45,CVIR2407250028,"HWY 401 Toronto, ON","DHILLON, K",D3001484-ON,ON,VOLVO,T328,PR6196,CAON,1,0,0,0,0,N,N,N
