cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,collisionClass,vehicleAction,driverAction,driverCharged,points,microfilm
030-720-022,2024-07-25,20240725-coll-12,2023-08-25,14:30,COLL-20240725-012,"HWY 403 Brantford, ON","DHILLON, K",D1001644-ON,PR4084,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0012
030-720-022,2024-07-25,20240725-coll-11,2023-07-25,11:00,COLL-20240725-011,"QEW Hamilton, ON","GREWAL, J",D1001507-ON,PR4077,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0011
030-720-022,2024-07-25,20240725-coll-10,2023-06-24,08:15,COLL-20240725-010,"HWY 11 North Bay, ON","PATEL, A",D1001370-ON,PR4070,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0010
030-720-022,2024-07-25,20240725-coll-9,2023-05-25,16:20,COLL-20240725-009,"HWY 7 Mississauga, ON","SHARMA, R",D1001233-ON,PR4063,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0009
030-720-022,2024-07-25,20240725-coll-8,2023-04-24,13:45,COLL-20240725-008,"HWY 400 Barrie, ON","SINGH, M",D1001096-ON,PR4056,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0008
030-720-022,2024-07-25,20240725-coll-21,2023-02-22,09:30,COLL-20240725-021,"HWY 401 Toronto, ON","BRAR, H",D1002877-ON,PR4147,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0021
030-720-022,2024-07-25,20240725-coll-20,2023-01-23,10:15,COLL-20240725-020,"HWY 416 Ottawa, ON","DHILLON, K",D1002740-ON,PR4140,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0020
030-720-022,2024-07-25,20240725-coll-19,2022-12-23,14:30,COLL-20240725-019,"HWY 403 Brantford, ON","GREWAL, J",D1002603-ON,PR4133,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0019
030-720-022,2024-07-25,20240725-coll-18,2022-11-23,11:00,COLL-20240725-018,"QEW Hamilton, ON","PATEL, A",D1002466-ON,PR4126,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,N,0,MF240725-0018
030-720-022,2024-07-25,20240725-coll-17,2022-10-24,08:15,COLL-20240725-017,"HWY 11 North Bay, ON","SHARMA, R",D1002329-ON,PR4119,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0017
030-720-022,2024-07-25,20240725-coll-16,2022-09-23,16:20,COLL-20240725-016,"HWY 7 Mississauga, ON","SINGH, M",D1002192-ON,PR4112,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0016
030-720-022,2024-07-25,20240725-coll-15,2022-08-24,13:45,COLL-20240725-015,"HWY 400 Barrie, ON","GILL, P",D1002055-ON,PR4105,CLASS-PROPERTY DAMAGE ONLY,VEH ACTN-CHANGING LANES,DR ACT-IMPROPER LANE CHANGE,Y,1,MF240725-0015
