cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
369-110-004,2024-11-04,20241104-insp-34,2024-04-30,10:30,11:10,CVIR2411040034,"HWY 416 Ottawa, ON","PATEL, A",D3001802-ON,ON,WESTERN,T334,PR6238,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-33,2024-04-14,14:00,14:40,CVIR2411040033,"HWY 403 Brantford, ON","SHARMA, R",D3001749-ON,ON,INTL,T333,PR6231,CAON,3,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-32,2024-03-30,08:30,09:10,CVIR2411040032,"QEW Hamilton, ON","SINGH, M",D3001696-ON,ON,MACK,T332,PR6224,CAON,3,1,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-31,2024-03-14,15:45,16:25,CVIR2411040031,"HWY 11 North Bay, ON","GILL, P",D3001643-ON,ON,KENWORTH,T331,PR6217,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-30,2024-02-29,13:15,13:55,CVIR2411040030,"HWY 7 Mississauga, ON","BAJWA, S",D3001590-ON,ON,PETERBILT,T330,PR6210,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-29,2024-02-13,11:30,12:15,CVIR2411040029,"HWY 400 Barrie, ON","BRAR, H",D3001537-ON,ON,FREIGHTLN,T329,PR6203,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-28,2024-01-29,09:00,09:45,CVIR2411040028,"HWY 401 Toronto, ON","DHILLON, K",D3001484-ON,ON,VOLVO,T328,PR6196,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-27,2024-01-13,10:30,11:10,CVIR2411040027,"HWY 416 Ottawa, ON","GREWAL, J",D3001431-ON,ON,WESTERN,T327,PR6189,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-26,2023-12-28,14:00,14:40,CVIR2411040026,"HWY 403 Brantford, ON","PATEL, A",D3001378-ON,ON,INTL,T326,PR6182,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-25,2023-12-13,08:30,09:10,CVIR2411040025,"QEW Hamilton, ON","SHARMA, R",D3001325-ON,ON,MACK,T325,PR6175,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-24,2023-11-27,15:45,16:25,CVIR2411040024,"HWY 11 North Bay, ON","SINGH, M",D3001272-ON,ON,KENWORTH,T324,PR6168,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-23,2023-11-12,13:15,13:55,CVIR2411040023,"HWY 7 Mississauga, ON","GILL, P",D3001219-ON,ON,PETERBILT,T323,PR6161,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-22,2023-10-26,11:30,12:15,CVIR2411040022,"HWY 400 Barrie, ON","BAJWA, S",D3001166-ON,ON,FREIGHTLN,T322,PR6154,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-21,2023-10-11,09:00,09:45,CVIR2411040021,"HWY 401 Toronto, ON","BRAR, H",D3001113-ON,ON,VOLVO,T321,PR6147,CAON,2,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-20,2023-09-25,10:30,11:10,CVIR2411040020,"HWY 416 Ottawa, ON","DHILLON, K",D3001060-ON,ON,WESTERN,T320,PR6140,CAON,2,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-19,2023-09-10,14:00,14:40,CVIR2411040019,"HWY 403 Brantford, ON","GREWAL, J",D3001007-ON,ON,INTL,T319,PR6133,CAON,2,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-18,2023-08-25,08:30,09:10,CVIR2411040018,"QEW Hamilton, ON","PATEL, A",D3000954-ON,ON,MACK,T318,PR6126,CAON,2,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-17,2023-08-09,15:45,16:25,CVIR2411040017,"HWY 11 North Bay, ON","SHARMA, R",D3000901-ON,ON,KENWORTH,T317,PR6119,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-16,2023-07-25,13:15,13:55,CVIR2411040016,"HWY 7 Mississauga, ON","SINGH, M",D3000848-ON,ON,PETERBILT,T316,PR6112,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-15,2023-07-09,11:30,12:15,CVIR2411040015,"HWY 400 Barrie, ON","GILL, P",D3000795-ON,ON,FREIGHTLN,T315,PR6105,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-14,2023-06-24,09:00,09:45,CVIR2411040014,"HWY 401 Toronto, ON","BAJWA, S",D3000742-ON,ON,VOLVO,T314,PR6098,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-13,2023-06-08,10:30,11:10,CVIR2411040013,"HWY 416 Ottawa, ON","BRAR, H",D3000689-ON,ON,WESTERN,T313,PR6091,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-12,2023-05-24,14:00,14:40,CVIR2411040012,"HWY 403 Brantford, ON","DHILLON, K",D3000636-ON,ON,INTL,T312,PR6084,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-11,2023-05-08,08:30,09:10,CVIR2411040011,"QEW Hamilton, ON","GREWAL, J",D3000583-ON,ON,MACK,T311,PR6077,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-10,2023-04-23,15:45,16:25,CVIR2411040010,"HWY 11 North Bay, ON","PATEL, A",D3000530-ON,ON,KENWORTH,T310,PR6070,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-9,2023-04-07,13:15,13:55,CVIR2411040009,"HWY 7 Mississauga, ON","SHARMA, R",D3000477-ON,ON,PETERBILT,T309,PR6063,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-8,2023-03-22,11:30,12:15,CVIR2411040008,"HWY 400 Barrie, ON","SINGH, M",D3000424-ON,ON,FREIGHTLN,T308,PR6056,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-7,2023-03-08,09:00,09:45,CVIR2411040007,"HWY 401 Toronto, ON","GILL, P",D3000371-ON,ON,VOLVO,T307,PR6049,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-6,2023-02-20,10:30,11:10,CVIR2411040006,"HWY 416 Ottawa, ON","BAJWA, S",D3000318-ON,ON,WESTERN,T306,PR6042,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-5,2023-02-05,14:00,14:40,CVIR2411040005,"HWY 403 Brantford, ON","BRAR, H",D3000265-ON,ON,INTL,T305,PR6035,CAON,1,0,0,0,0,N,N,N
369-110-004,2024-11-04,20241104-insp-4,2023-01-20,08:30,09:10,CVIR2411040004,"QEW Hamilton, ON","DHILLON, K",D3000212-ON,ON,MACK,T304,PR6028,CAON,1,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-3,2023-01-05,15:45,16:25,CVIR2411040003,"HWY 11 North Bay, ON","GREWAL, J",D3000159-ON,ON,KENWORTH,T303,PR6021,CAON,1,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-2,2022-12-20,13:15,13:55,CVIR2411040002,"HWY 7 Mississauga, ON","PATEL, A",D3000106-ON,ON,PETERBILT,T302,PR6014,CAON,1,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-1,2022-12-05,11:30,12:15,CVIR2411040001,"HWY 400 Barrie, ON","SHARMA, R",D3000053-ON,ON,FREIGHTLN,T301,PR6007,CAON,1,2,0,1,2,Y,N,N
369-110-004,2024-11-04,20241104-insp-0,2022-11-19,09:00,09:45,CVIR2411040000,"HWY 401 Toronto, ON","SINGH, M",D3000000-ON,ON,VOLVO,T300,PR6000,CAON,1,2,1,1,2,Y,N,N
