cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,convictionDate,chargedCarrier,offence,points,microfilm
850-000-203,2025-02-03,20250203-conv-16,2024-03-20,16:20,CONV-20250203-016,"HWY 7 Mississauga, ON","SINGH, M",D2001456-ON,PR5112,2024-04-19,N,HTA s.84 - Defective brakes,3,MF250203-0016
850-000-203,2025-02-03,20250203-conv-15,2024-02-26,13:45,CONV-20250203-015,"HWY 400 Barrie, ON","GILL, P",D2001365-ON,PR5105,2024-03-26,N,HTA s.84 - Defective brakes,3,MF250203-0015
850-000-203,2025-02-03,20250203-conv-14,2024-02-02,09:30,CONV-20250203-014,"HWY 401 Toronto, ON","BAJWA, S",D2001274-ON,PR5098,2024-03-03,N,HTA s.84 - Defective brakes,3,MF250203-0014
850-000-203,2025-02-03,20250203-conv-13,2024-01-08,10:15,CONV-20250203-013,"HWY 416 Ottawa, ON","BRAR, H",D2001183-ON,PR5091,2024-02-07,N,HTA s.128 - Speeding,3,MF250203-0013
850-000-203,2025-02-03,20250203-conv-12,2023-12-15,14:30,CONV-20250203-012,"HWY 403 Brantford, ON","DHILLON, K",D2001092-ON,PR5084,2024-01-14,N,HTA s.128 - Speeding,3,MF250203-0012
850-000-203,2025-02-03,20250203-conv-11,2023-11-20,11:00,CONV-20250203-011,"QEW Hamilton, ON","GREWAL, J",D2001001-ON,PR5077,2023-12-20,N,HTA s.128 - Speeding,3,MF250203-0011
850-000-203,2025-02-03,20250203-conv-10,2023-10-26,08:15,CONV-20250203-010,"HWY 11 North Bay, ON","PATEL, A",D2000910-ON,PR5070,2023-11-26,N,HTA s.128 - Speeding,3,MF250203-0010
850-000-203,2025-02-03,20250203-conv-25,2023-08-31,11:00,CONV-20250203-025,"QEW Hamilton, ON","SHARMA, R",D2002275-ON,PR5175,2023-09-30,N,HTA s.74 - Other,2,MF250203-0025
850-000-203,2025-02-03,20250203-conv-24,2023-08-01,08:15,CONV-20250203-024,"HWY 11 North Bay, ON","SINGH, M",D2002184-ON,PR5168,2023-08-31,N,HTA s.74 - Other,2,MF250203-0024
850-000-203,2025-02-03,20250203-conv-23,2023-07-02,16:20,CONV-20250203-023,"HWY 7 Mississauga, ON","GILL, P",D2002093-ON,PR5161,2023-08-01,Y,HTA s.111 - Improperly secured load,3,MF250203-0023
850-000-203,2025-02-03,20250203-conv-22,2023-06-02,13:45,CONV-20250203-022,"HWY 400 Barrie, ON","BAJWA, S",D2002002-ON,PR5154,2023-07-02,Y,HTA s.111 - Improperly secured load,3,MF250203-0022
850-000-203,2025-02-03,20250203-conv-21,2023-05-03,09:30,CONV-20250203-021,"HWY 401 Toronto, ON","BRAR, H",D2001911-ON,PR5147,2023-06-02,Y,HTA s.111 - Improperly secured load,3,MF250203-0021
850-000-203,2025-02-03,20250203-conv-20,2023-04-03,10:15,CONV-20250203-020,"HWY 416 Ottawa, ON","DHILLON, K",D2001820-ON,PR5140,2023-05-03,N,HTA s.84 - Defective brakes,3,MF250203-0020
850-000-203,2025-02-03,20250203-conv-19,2023-03-05,14:30,CONV-20250203-019,"HWY 403 Brantford, ON","GREWAL, J",D2001729-ON,PR5133,2023-04-03,N,HTA s.84 - Defective brakes,3,MF250203-0019
